Date,low_regime,high_regime
2019-05-23,6.407739304783589e-08,0.9999999359226072
2019-05-24,5.28866892795761e-08,0.9999999471133111
2019-05-27,4.9617361040890244e-08,0.9999999503826393
2019-05-28,5.8980897038172606e-08,0.9999999410191033
2019-05-29,6.680810920758014e-08,0.999999933191891
2019-05-30,7.38588569307198e-08,0.9999999261411432
2019-05-31,8.66907059592301e-08,0.9999999133092942
2019-06-03,8.006521970173254e-08,0.9999999199347807
2019-06-04,7.389931213912693e-08,0.9999999261006882
2019-06-05,7.980745920220416e-08,0.9999999201925412
2019-06-06,7.30298678694781e-08,0.9999999269701325
2019-06-07,6.179432314730077e-08,0.9999999382056773
2019-06-10,5.995701527784495e-08,0.9999999400429853
2019-06-11,5.448214604182053e-08,0.9999999455178545
2019-06-12,6.505516259512786e-08,0.999999934944838
2019-06-13,5.5685424171379265e-08,0.9999999443145764
2019-06-14,5.1347428997266966e-08,0.9999999486525716
2019-06-17,4.8835341371137736e-08,0.9999999511646591
2019-06-18,4.296423969120451e-08,0.999999957035761
2019-06-19,3.647102514552016e-08,0.9999999635289755
2019-06-20,2.344652381841592e-08,0.9999999765534767
2019-06-21,2.6313324004411387e-08,0.9999999736866766
2019-06-24,1.979036050667095e-08,0.9999999802096401
2019-06-25,2.3219184266295254e-08,0.9999999767808165
2019-06-26,2.5319038420953324e-08,0.9999999746809624
2019-06-27,2.574912978486677e-08,0.9999999742508711
2019-06-28,2.8465976935735737e-08,0.999999971534024
2019-07-01,2.4469081783842193e-08,0.9999999755309192
2019-07-02,2.9304792351656508e-08,0.9999999706952087
2019-07-03,2.914382814414395e-08,0.9999999708561729
2019-07-04,3.184936278295852e-08,0.9999999681506384
2019-07-05,3.753624387055709e-08,0.9999999624637574
2019-07-08,3.5030923957345744e-08,0.9999999649690774
2019-07-09,3.790667271060137e-08,0.9999999620933288
2019-07-10,2.6679724427804263e-08,0.9999999733202768
2019-07-11,2.2760096728573058e-08,0.9999999772399045
2019-07-12,2.49459135396456e-08,0.9999999750540877
2019-07-15,2.0748383037781158e-08,0.9999999792516182
2019-07-16,2.510179883354132e-08,0.9999999748982022
2019-07-17,2.355972662163495e-08,0.9999999764402745
