Date,Open,High,Low,Close
03/01/23, 0.013324, 0.013383, 0.013241, 0.013286
02/28/23, 0.013346, 0.013511, 0.013252, 0.013324
02/27/23, 0.013155, 0.013427, 0.013095, 0.013346
02/24/23, 0.013206, 0.013351, 0.013058, 0.013155
02/23/23, 0.013256, 0.013352, 0.013185, 0.013206
02/22/23, 0.013346, 0.013478, 0.013204, 0.013256
02/21/23, 0.013559, 0.013699, 0.013208, 0.013346
02/20/23, 0.013559, 0.013559, 0.013559, 0.013559
02/17/23, 0.013384, 0.013578, 0.013267, 0.013578
02/16/23, 0.013514, 0.013514, 0.013298, 0.013384
02/15/23, 0.013587, 0.013643, 0.013219, 0.013423
02/14/23, 0.013661, 0.013722, 0.013459, 0.013587
02/13/23, 0.013678, 0.013790, 0.013450, 0.013495
02/10/23, 0.013688, 0.013818, 0.013499, 0.013549
02/09/23, 0.013793, 0.013974, 0.013606, 0.013688
02/08/23, 0.013767, 0.014482, 0.013582, 0.013651
02/07/23, 0.013984, 0.014190, 0.013617, 0.013930
02/06/23, 0.014154, 0.014213, 0.013810, 0.013984
02/03/23, 0.014272, 0.014286, 0.013874, 0.014154
02/02/23, 0.014253, 0.014441, 0.013322, 0.014272
02/01/23, 0.014167, 0.014482, 0.014132, 0.014309
01/31/23, 0.014303, 0.014482, 0.013617, 0.014482
01/30/23, 0.014139, 0.014436, 0.014139, 0.014303
01/27/23, 0.014354, 0.014486, 0.014139, 0.014139
01/26/23, 0.014445, 0.014532, 0.014334, 0.014354
01/25/23, 0.014399, 0.014574, 0.014368, 0.014445
01/24/23, 0.014497, 0.014584, 0.014311, 0.014399
01/23/23, 0.014652, 0.014652, 0.014384, 0.014497
01/20/23, 0.014535, 0.014826, 0.014409, 0.014652
01/19/23, 0.014523, 0.014589, 0.014306, 0.014409
01/18/23, 0.014599, 0.014630, 0.014362, 0.014455
01/17/23, 0.014599, 0.014638, 0.014393, 0.014546
01/16/23, 0.015152, 0.015152, 0.014490, 0.014545
01/13/23, 0.014753, 0.015152, 0.014434, 0.015152
